nombretitulo,institucion,niveltitulo
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN NUTRICION Y DIETETICA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
QUIMICA FARMACEUTA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN MEDICINA LEGAL Y FORENSE,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MEDICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALISTA EN MEDICINA (ANESTESIOLOGIA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNICO SUPERIOR EN GERONTOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
TECNICO SUPERIOR EN GERONTOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNICO SUPERIOR DE ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN NUTRICION INFANTIL,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO EN TERAPIA OCUPACIONAL,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA MENCION EN NEUROPSICOLOGIA DEL APRENDIZAJE,UNIVERSIDAD CASA GRANDE,CUARTO NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MAGISTER EN SEGURIDAD INDUSTRIAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN NUTRICION CLINICA,UNIVERSIDAD DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN ENFERMERIA EN PERINEONATOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
MAGISTER EN SALUD PUBLICA,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
MAGISTER EN GERENCIA EN SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
ESPECIALISTA EN OFTALMOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE CAMAGUEY,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN GERENCIA Y PLANIFICACION ESTRATEGICA EN SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
BACCALAUREUS ARTIUM LICENCIADO EN PSICOLOGIA,UNIVERSIDAD SAN FRANCISCO DE QUITO,TERCER NIVEL
BIOQUIMICO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MASTER UNIVERSITARIO EN APROXIMACIONES MOLECULARES EN CIENCIAS DE LA SALUD,UNIVERSITAT DE VALÈNCIA,CUARTO NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
ESPECIALISTA EN GERENCIA Y PLANIFICACION ESTRATEGICA EN SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
MEDICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN LABORATORIO CLINICO,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TÉCNICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD TECNOLOGICA ISRAEL,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO COMPU SUR,TERCER NIVEL
LICENCIADO EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOPATOLOGIA Y PSICOANALISIS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MEDICA CIRUJANA,UNIVERSIDAD UTE,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADA EN CIENCIAS DE LA ENFERMERIA,UNIVERSIDAD ESTATAL DE BOLIVAR,TERCER NIVEL
DOCTORA EN MEDICINA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE CAMAGUEY,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ALTA ESPECIALIDAD EN MEDICINA TOMOGRAFIA POR EMISION DE POSITRONES / TOMOGRAFIA COMPUTADA (PET-CT),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
QUIMICA FARMACEUTICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
PSICOLOGO INFANTIL Y PSICORREHABILITADOR,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN ENFERMERIA QUIRURGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
DOCTORA EN MEDICINA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE SANTIAGO DE CUBA,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MAGISTER EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN INSTRUMENTACION QUIRURGICA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
MASTER UNIVERSITARIO EN NEUROPSICOLOGIA Y EDUCACION,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALIZACION EN CIRUGIA CARDIOVASCULAR,UNIVERSIDADE DE SÃO PAULO,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
DIPLOMA SUPERIOR EN MEDICINA TRANSFUSIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALIDAD EN ORTODONCIA,FACULDADE DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS (FASERRA),CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
ESPECIALISTA EN CIRUGIA GENERAL Y LAPAROSCOPICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN CIRUGIA GENERAL,HOSPITAL CENTRAL DE SAN CRISTOBAL,CUARTO NIVEL
TECNICO SUPERIOR EN PODOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN BIOANALISIS,UNIVERSIDAD DE LOS ANDES,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
ESPECIALISTA EN GERENCIA Y PLANIFICACION ESTRATEGICA EN SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
MEDICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
DOCTOR EN MEDICINA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE CAMAGUEY,TERCER NIVEL
ESPECIALISTA EN GASTROENTEROLOGIA Y ENDOSCOPIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICO CIRUJANO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA EN CIRUGIA GENERAL Y LAPAROSCOPICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
DIPLOMA SUPERIOR EN EDUCACION EN CIENCIAS DE LA SALUD,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
MAGISTER EN PSICOLOGIA MENCION EN PSICOTERAPIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
DIPLOMA SUPERIOR EN MEDICINA TRANSFUSIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNICO SUPERIOR UNIVERSITARIO EN RADIODIAGNOSTICO,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICA CIRUJANA,UNIVERSIDAD DE CARABOBO,TERCER NIVEL
ENFERMERA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN FARMACOLOGIA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE CAMAGUEY,CUARTO NIVEL
MASTER INTERNACIONAL EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD EUROPEA MIGUEL DE CERVANTES,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADO EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
LICENCIADA SICOLOGIA,UNIVERSIDAD SAN FRANCISCO DE QUITO,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
PSICOLOGA MENCION CLINICO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADA EN TERAPIA DEL LENGUAJE,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN TERAPIA DEL LENGUAJE,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN ODONTOLOGIA (ORTODONCIA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TÉCNICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN PERIODONCIA E IMPLANTOLOGIA QUIRURGICA,UNIVERSIDAD UTE,CUARTO NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADA EN OPTOMETRIA,ESCUELA POLITECNICA JAVERIANA DEL ECUADOR,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ODONTOLOGO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
BIOQUIMICO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ODONTOLOGO/A,UNIVERSIDAD SAN FRANCISCO DE QUITO,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MEDICO CIRUJANO,UNIVERSIDAD DE LOS ANDES,TERCER NIVEL
MAGISTER EN ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN ATENCION EN EMERGENCIAS Y DESASTRES,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
AUXILIAR DE ENFERMERIA DEL NIVEL TECNICO,UNIVERSIDAD CENTRAL DEL ECUADOR,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
AUXILIAR DE ENFERMERIA DEL NIVEL TECNICO,UNIVERSIDAD CENTRAL DEL ECUADOR,NIVEL TECNICO O TECNOLOGICO SUPERIOR
AUXILIAR DE ENFERMERIA DEL NIVEL TECNICO,UNIVERSIDAD CENTRAL DEL ECUADOR,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALIZACION EN CIRUGIA Y TRAUMATOLOGIA BUCOMAXILOFACIAL,FACULDADE DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS (FASERRA),CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO COMPU SUR,TERCER NIVEL
PSICOLOGO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALISTA EN REHABILITACION CARDIACA Y PULMONAR,UNIVERSIDAD DEL ROSARIO,CUARTO NIVEL
DOCTOR EN MEDICINA Y CIRUGIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN PODOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
ESPECIALIZACION EN REUMATOLOGIA,UNIVERSIDADE DE SÃO PAULO,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA ESPECIALISTA EN OTORRINOLARINGOLOGIA,UNIVERSIDAD DE BUENOS AIRES,CUARTO NIVEL
MEDICA ESPECIALISTA EN ENFERMEDADES INFECCIOSAS,UNIVERSIDAD DE BUENOS AIRES,CUARTO NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
TECNOLOGO EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO CRUZ ROJA ECUATORIANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
SICOLOGO GENERAL,UNIVERSIDAD TECNOLOGICA INDOAMERICA,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN DERMATOLOGIA,UNIVERSIDAD UTE,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN GESTION DEL CUIDADO MENCION EN UNIDADES DE EMERGENCIAS Y UNIDADES DE CUIDADOS INTENSIVOS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN CUIDADOS PALIATIVOS,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA DEL LENGUAJE,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
